strežba,5.07,cerklje na gorenjskem,1,dlje časa (občasno),dopoldan,začasno in občasno delo,Delo poteka v šanku na spodnji postaji gondole na Krvavec. Zaželene so izkušnje s strežbo. 
strežba,4.22,kranj,1,po dogovoru,po dogovoru,začasno in občasno delo,Strežba v piceriji. Pogoji: starost nad 17 let in vsaj nekaj izkušenj v strežbi. 
strežba,PO DOGOVORU,sevnica,3,po dogovoru,izmensko,začasno in občasno delo,Zavod potrebuje več polnoletnih oseb za strežbo v atraktivnem lokalu.  Vse ostalo je po dogovoru. 
programiranje,PO DOGOVORU,ljubljana bežigrad,2,dlje časa (občasno),dopoldan,začasno in občasno delo,"Delo obsega programiranje WEB aplikacij. Potrebna znanja: ASP. NET MVC, MS SQL, JavaScript. Pogoj je starost nad 18 let. Prijave sprejemajo na e-poštos priloženo predstavitvijo, izkušnjami in referencami. "
strežba,5.00,ljubljana,2,po dogovoru,izmensko,začasno in občasno delo,"Iščejo polnoletno, prijazno, pošteno in urejeno osebo za delo v strežbi pijač in prigrizkov. Za več informacij pokličite. "
programiranje,7.61,ljubljana,3,"po dogovoru, dlje časa",vseeno,začasno in občasno delo,"Iščejo Java programerje, ki bodo sodelovali z razvojno skupino, odgovorno za razvoj kompleksne aplikativne programske opreme. Pričakujejo osnovno znanje objektnega programiranja v Javi in poznavanje osnov konceptov tri nivojske arhitekture. Zaželeni študenti zadnjega letnika Fakultete za računalništvo in informatiko (1. ali 2. bolonjska stopnja). "
programiranje,7.60,maribor,1,dlje časa (občasno),po dogovoru,začasno in občasno delo,"Razvoj programske opreme na strani strežnika. Pogoji: izkušnje s programiranjem, znanje angleškega jezika. Prednost je, če znaš uporabljati SQL, Javascript and HTML. "
prodaja,5.50,ljubljana,1,"dlje časa (občasno), po dogovoru",izmensko,začasno in občasno delo,"Prodaja v čokoladnici v stari Ljubljani. Podjetje išče resno in urejeno osebo z znanjem tujih jezikov, osnovnim znanjem računalnika, odličnimi komunikacijskimi in organizacijskimi sposobnostmi ter veseljem do dela z ljudmi. "
pomoč uporabnikom,5.00,ljubljana center,1,dlje časa (občasno),izmensko,začasno in občasno delo,"Mlado in energično mednarodno podjetje išče osebe za delo v podpori uporabnikom. Iščejo zanesljivo, komunikativno in pozitivno naravnano osebo, ki je sposobna te kvalitete ohraniti tudi v stresnih situacijah. Urnik je izmenski, od 11. do 17. ure oz. od 17. do 23. ure,  Prijave s CV-jem pošljite na e-naslov. "
blagajnik,4.13,kranj,4,dlje časa (občasno),popoldan,začasno in občasno delo,"Podjetje išče polnoletne, komunikativne in samoiniciativne osebe za delo na blagajni kinematografa - prodaja kart in prigrizkov. Iščejo zanesljive osebe za popoldansko delo, med vikendi, prazniki in šolskimi počitnicami. Prijave z opisom in kontaktom ali CV-jem pošljite na e-mail. "
delo s strankami,5.00,trzin,1,dlje časa (občasno),dopoldan,začasno in občasno delo,"Podjetje potrebuje osebo za pomoč strankam za Italijo, tako da je pogoj odlično znanje italjanskega jezika. Delo večinoma na računalniku, na Facebooku in po mailih. Delo po želji lahko tudi med vikendi. Možnost kasnejše redne zaposlitve. "
